cause_of_loss,avg_loss_percentage
"Poor Post Harvest Management    . Quantitative Post-Harvest Losses Of Economic Importance Occur  In The Field (15%); During Processing (13E20%), And During Storage (15E25%). The Main Storage Pests  Responsible For The Losses Are Larger Grain Borers (Prostephanus Truncatus), Grain Weevils (Sitophilus  Granarius) And, The Lesser Grain Borer (Rhyzopertha Dominica). Most Of The Farmers Considered Changes In  Weather (40%), Field Damage (33%), And Storage Pests (16%) As The Three Most Important Factors Causing  Poor Crop Yields And Aggravating Food Losses. However, Survey Results Suggest That The Farmers’ Poor  Knowledge And Skills On Post-Harvest Management Are Largely Responsible For The Food Losses. 77% Of The  Surveyed Farmers Reported Inadequate Household Foods And 41% Received Food Aid During The Previous  Year. Increasing Farmers’ Technical Know-How On Adaptation Of The Farming Systems To Climate Variability,  And Training On Post-Harvest Management Could Reduce Food Losses, And Improve Poverty And Household  Food Security",16.5
"Main Harvest Side Flow Reasons: Unacceptable Size And Shape, Damage During Harvest And Handling, Insect Or Animal Damage. Main Post-Harvest Side Flow Reasons: Unacceptable Size And Shape, Unacceptable Appearance, Damage During Handling    Of The Total Carrot Production, And Including The Companies That Did Not Discard Carrots In The Specific Practice In Question (The Zero Values), The Highest Share Was Sorted Out At Washing, Trimming Or Sorting (23%; Range 0–67%), At Storage After Packaging (9%; Range 0–24%), Or At Processing (8%; Range 0–33%) (Figure 18). 5% (Range 0–50%) Of The Carrot Production Was Not Harvested, 6% (Range 0–40%) Of The Production Was Estimated To Be Lost At Harvesting, And 4% (Range 0–35%) Was Discarded At Packaging.  At Sales Or Reclamation, Only 0.2% Was Discarded.",16.44
Insects And Rodents,16.25
"Over-Ripening, Poor Handling, Poor Storage",16.125
Rodents And Insects,16.1
Milling,16.0
"Rodents, Insects, Moulds",15.966666666666667
Different Techniques Of Preparation,15.87
"The Physical Loss Was Measured By Percentage Of Product Sorted And Not Sold. Economic Losses Due To Poor Quality (A Function Of The % Cumulative Rate Of Defects, Decay And Damage That Occurred During Handling) Could Not Be Determined Because Price Data Reported For Crops In Ghana Were Unreliable; The Air Temperatures During The Handling At The Farm, Wholesale And Retail Markets Were 29-31C, And 76 % Rh At The Farm And Wholesale Markets, And 72% Rh At The Retail Market.",15.783333333333333
Shipping Line,15.7
Full Sunlight,15.1
Table 4  Percentage Losses During Manual Processing Practices.,15.030000000000001
"Added To Problems Related To Climate Is The Poor Quality Of Existing Storage Infrastructure, Which Does Little To Prevent Contact With Pests That Damage Stored Crops.",15.0
10% Loss From Farm-Gate To Local Market. An Additional 20% Loss Occurs When Produce Travels From Regional/Local Market To National Market,15.0
Harvesting And Moving Of Bananas Is Done By Hand,15.0
"Most Important: After Harvest: Quality (Appearance, Size), Plant Diseases And Damage. During Harvest: Weather Conditions, Plant Diseases And Harvesting Procedures.",15.0
Insect Damage - Maize Weevil ( Sitophilus Zeamis ),15.0
"Weather, Field Damage    D. Quantitative Post-Harvest Losses Of Economic Importance Occur  In The Field (15%); During Processing (13E20%), And During Storage (15E25%). The Main Storage Pests  Responsible For The Losses Are Larger Grain Borers (Prostephanus Truncatus), Grain Weevils (Sitophilus  Granarius) And, The Lesser Grain Borer (Rhyzopertha Dominica). Most Of The Farmers Considered Changes In  Weather (40%), Field Damage (33%), And Storage Pests (16%) As The Three Most Important Factors Causing  Poor Crop Yields And Aggravating Food Losses. However, Survey Results Suggest That The Farmers’ Poor  Knowledge And Skills On Post-Harvest Management Are Largely Responsible For The Food Losses. 77% Of The  Surveyed Farmers Reported Inadequate Household Foods And 41% Received Food Aid During The Previous  Year. Increasing Farmers’ Technical Know-How On Adaptation Of The Farming Systems To Climate Variability,  And Training On Post-Harvest Management Could Reduce Food Losses, And Improve Poverty And Household  Food Security",15.0
"Poor Storage Structures, Storage Of Untreated Grain",15.0
Machine Damagesmall Scale,15.0
"Rough Handling, Inability To Finish And Market In Shorter Times, Inefficient Protection From Sun",14.9
At Retail Sold At Discounted Price,14.4
Insects; Maize Stem Borer,14.25
Lack Of Pre-Sorting To Remove Decayed Produce Before Packing Promoted Spread Of Fungal And Bacterial Diseases And Insect Pests During Handling,14.133333333333333
Beating Of Cobs In A Polypropylene Bag,14.0
"Mould Development, Insect Pests, Rodents, Wild Animals And Domestic Animals",14.0
Transport,13.866666666666667
Processing,13.666666666666666
Use Of Underage Children,13.5
Drying In Threshing Center,13.0
Private Vehicle (Truck),13.0
Use Of Underage Labour,13.0
"Dropped, Tossed, And Trodden On On Top Of Loads), The Crop Is Relatively Resistant To Mechanical Damage. Most Losses Occur During Transportation, Storage Over Winter, And At The Wholesale And Retail Markets",12.9375
"Rodents, Insects And Moulds",12.88888888888889
